#{"t_start": 1777837958.6945293, "env_id": "None"}
r,l,t
27.710075,500,2160.90277
-2.167493,500,2173.659013
2.014515,500,2191.669327
22.026702,500,2206.774133
22.45767,500,2226.767449
-1.868514,500,2244.982128
15.848089,500,2261.183802
0.888817,500,2286.174019
24.80483,500,2301.99774
12.034246,500,2321.766259
-1.852709,500,2338.713357
1.777529,500,2357.26413
47.717435,500,2373.732697
39.013638,500,2390.47428
11.272422,500,2402.060564
41.515614,500,2421.783355
-0.251567,500,2439.096563
15.984173,500,2458.801768
-0.840915,500,2479.244179
53.910269,500,2499.579285
-2.57311,500,2514.195527
7.945118,500,2529.736425
-1.507781,500,2555.95944
26.789953,500,2569.659712
105.057147,500,2585.881353
31.487054,500,2604.201566
0.493795,500,2618.444305
46.282076,500,2636.158664
88.916823,500,2651.91685
1.375415,500,2666.488935
2.297523,500,2682.20044
15.301733,500,2702.376934
-2.426672,500,2721.269207
43.50861,500,2747.05634
0.438244,500,2761.12939
-1.491766,500,2775.141615
8.400504,500,2791.65683
-0.43211,500,2808.654939
24.982327,500,2834.536896
17.2305,500,2851.882781
15.243048,500,2865.816015
-2.515457,500,2892.477197
1.563262,500,2912.921043
93.487444,500,2936.928911
0.00103,500,2956.200446
-0.004396,500,2974.556916
59.885074,500,2990.859519
21.957542,500,3021.460475
3.317349,500,3036.026802
79.291374,500,3064.075374
112.504357,500,3079.282127
48.731461,500,3108.075827
75.218326,500,3124.939593
10.633126,500,3140.181865
31.445201,500,3159.32899
31.82417,500,3175.062583
6.266183,500,3193.767345
56.55803,500,3218.078245
12.727278,500,3231.827686
-0.162917,500,3248.316164
43.478924,500,3271.699496
81.778048,500,3299.930122
39.685565,500,3317.818994
35.243455,500,3341.898838
7.461693,500,3368.601671
37.180167,500,3404.632655
6.69536,500,3441.931194
0.744488,500,3470.254199
1.935491,500,3505.902597
4.572434,500,3533.813303
14.729496,500,3554.295739
-0.170616,500,3577.933958
28.916775,500,3601.920864
106.211161,500,3622.029124
47.8295,500,3645.153203
34.202139,500,3664.123116
32.499511,500,3683.587384
0.759303,500,3708.927798
7.290119,500,3727.776437
-2.199921,500,3751.007483
29.654574,500,3777.549096
24.755961,500,3805.820957
-1.90094,500,3825.596485
23.171868,500,3851.709989
10.834821,500,3868.510587
-0.275991,500,3880.114842
52.979252,500,3898.232444
24.082677,500,3923.254567
25.478242,500,3936.996696
54.971618,500,3952.413387
46.290059,500,3975.532339
19.512297,500,3987.645863
22.557436,500,3998.9796
-0.854331,500,4025.601874
12.851351,500,4042.924327
36.146732,500,4056.558289
68.099754,500,4076.926504
12.001376,500,4090.982109
22.231551,500,4118.251677
65.263042,500,4153.829631
7.693732,500,4167.244012
-1.448042,500,4184.084374
21.888935,500,4197.353468
2.335601,500,4220.4501
-1.806327,500,4233.465261
1.377266,500,4247.90281
14.427669,500,4261.348488
14.689606,500,4280.940327
40.026959,500,4298.027778
33.570155,500,4313.152001
19.67389,500,4336.555246
-1.716765,500,4349.668644
-2.118026,500,4363.913334
60.63233,500,4382.624474
24.231116,500,4394.198525
51.609701,500,4410.282859
17.17881,500,4423.73036
6.081234,500,4435.673074
45.829191,500,4449.017819
102.95763,500,4460.937764
121.694616,500,4479.722284
23.39552,500,4493.950923
38.989058,500,4510.100205
